"","Sample","decimalLatitude","decimalLongitude"
"119","MR0055",37.4118,-115.5407
"121","MR0058",37.4118,-115.5408
"122","MR0062",37.4049,-115.5235
"123","MR0064",37.4046,-115.523
"335","TVS0202",37.3651,-115.5366
"336","TVS0203",37.357,-115.5335
"339","TVS0206",37.3488,-115.532
"341","TVS0208",37.3466,-115.5307
"343","TVS0210",37.3452,-115.537
"345","TVS101a",37.372,-115.5224
"346","TVS102a",37.3706,-115.5217
"347","TVS103a",37.3729,-115.5162
"337","TVS0204",37.3562,-115.5338
"338","TVS0205",37.3561,-115.5335
"340","TVS0207",37.3469,-115.5297
"342","TVS0209",37.3464,-115.5306
"344","TVS0211",37.3485,-115.5382
