siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_10...19,areaCoverage_10...20,siteID_7,areaCoverage_7,siteID_10...23,areaCoverage_10...24,siteID_8,areaCoverage_8,siteID_10...27,areaCoverage_10...28,siteID_9,areaCoverage_9,siteID_10...31,areaCoverage_10...32,siteID_10...33,areaCoverage_10...34
CRE1,60.1419,NA,NA,DUN7,60.0522,NA,NA,CRE1,60.5932,NA,NA,SUN1,59.8854,DIA8,60.397,SMAR1,60.1081,NA,NA,MAD5,60.4679,NA,NA,DIA6,60.256100000000004,NA,NA,CHE102x,60.1619,NA,NA,DIA6,60.5106
MAD5,58.6861,NA,NA,MOH5,58.5279,NA,NA,KIN3,59.1492,NA,NA,CHE922,58.4083,KIN3,58.9531,MAD6,58.6686,NA,NA,CRE1,58.996,NA,NA,CHE100x,58.7879,NA,NA,KIN3,58.7179,NA,NA,MCL2,59.0857
NAP8,57.1453,NA,NA,MCL7,57.1102,NA,NA,CHE100x,57.6809,NA,NA,SMAR6,56.9039,CHE102x,57.4865,DIA8,57.1587,NA,NA,ORO4,57.4373,NA,NA,KIN3,57.3439,NA,NA,CRE1,57.246,NA,NA,DAN2,57.2355
DIA6,55.6361,NA,NA,MAD7,55.6848,NA,NA,MAD6,56.2024,NA,NA,KIN2,55.4877,MAD6,56.0605,MCL2,55.7338,NA,NA,KIN3,55.9933,NA,NA,MAD6,55.8655,NA,NA,MAD5,55.7901,NA,NA,MAD7,55.8101
CHE102x,54.1694,NA,NA,MOD4,54.2774,NA,NA,CTW2,54.7934,NA,NA,MCL4,54.071,DUN5,54.5215,CHE102x,54.2671,NA,NA,MCL7,54.5757,NA,NA,MCL7,54.4478,NA,NA,ORO2,54.2307,NA,NA,SMAR4,54.4235
KIN2,52.7532,NA,NA,CTW2,52.8684,NA,NA,SMAR4,53.4069,NA,NA,CTW2,52.6619,MOD3,53.1254,KIN3,52.8232,NA,NA,SMAR4,53.1892,NA,NA,CTW8,53.0846,NA,NA,CTW6,52.8671,NA,NA,CHE100x,52.9553
CTW8,51.3899,NA,NA,CHE100x,51.4,NA,NA,SPRC,52.1186,NA,NA,MOD4,51.2546,SPRB,51.7818,CRE2,51.4513,NA,NA,SPRB,51.8456,NA,NA,SPRB,51.741,NA,NA,MCL7,51.4495,NA,NA,PSK4,51.6382
PSK4,50.0729,NA,NA,PSK4,50.0831,NA,NA,NOV3,50.822,NA,NA,MAD33,49.9448,NOV4,50.4479,CTW8,50.0881,NA,NA,CHE922,50.3685,NA,NA,CRE1,50.2691,NA,NA,SMAR3,50.0241,NA,NA,CTW6,50.2746
SMAR6,48.6689,NA,NA,KIN2,48.6668,NA,NA,MCL7,49.4043,NA,NA,MAD6,48.5052,CTW2,49.0389,NOV3,48.7914,NA,NA,CTW7,49.0053,NA,NA,OJAI4,48.9959,NA,NA,SPRB,48.6805,NA,NA,KIN2,48.8584
SPRB,47.3253,NA,NA,SPRB,47.3232,NA,NA,OJAI3,48.1319,NA,NA,OJAI3,47.2328,OJAI4,47.7658,PSK4,47.4744,NA,NA,MAD34,47.7465,NA,NA,NOV4,47.6621,NA,NA,BS1,47.424,NA,NA,OJAI6,47.5875
NOV4,45.9914,NA,NA,NOV3,46.0265,NA,NA,BS2,46.8754,NA,NA,NOV4,45.8989,BS5,46.5024,SPRC,46.1862,NA,NA,NOV3,46.4498,NA,NA,SMAR4,46.2756,NA,NA,OJAI6,46.153,NA,NA,NOV3,46.2908
