siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_10...5,areaCoverage_10...6,siteID_3,areaCoverage_3,siteID_10...9,areaCoverage_10...10,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_10...17,areaCoverage_10...18,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10...25,areaCoverage_10...26
CLO7,10.2907,BLU6,10.2685,NA,NA,MC14,10.2255,NA,NA,MC14,10.2174,CLO7,10.3872,BLU6,10.3834,NA,NA,MC14,10.4563,MC14,10.3968,MC14,10.4408,BLU6,10.2583
NAP4,9.9314,MC14,9.8901,NA,NA,CLO7,9.8615,NA,NA,CLO7,9.8535,NAP4,10.0279,MC14,10.0048,NA,NA,CLO7,10.0925,CLO7,10.0329,CLO7,10.0769,MC14,9.8798
TIN12,9.5748,CLO7,9.5261,NA,NA,NAP4,9.5022,NA,NA,NAP4,9.4942,TIN12,9.6713,CLO7,9.6409,NA,NA,NAP4,9.7332,NAP4,9.6735,NAP4,9.7176,CLO7,9.5158
ALH1,9.2226,NAP4,9.1668,NA,NA,TIN12,9.1457,NA,NA,TIN12,9.1376,ALH1,9.3165,NAP4,9.2816,NA,NA,TIN12,9.3767,TIN12,9.317,TIN12,9.361,NAP4,9.1565
WLT1,8.875,TIN12,8.8103,NA,NA,ALH1,8.7934,NA,NA,WLT1,8.79,WLT1,8.9689,TIN12,8.925,NA,NA,ALH1,9.0243,ALH1,8.9622,ALH1,9.0062,TIN12,8.8
MAD33,8.531,WLT1,8.4628,NA,NA,WLT1,8.4458,NA,NA,HAM24,8.4544,MAD33,8.6249,WLT1,8.5776,NA,NA,WLT1,8.6768,WLT1,8.6147,WLT1,8.6586,WLT1,8.4525
HAM24,8.1954,HAM24,8.1271,NA,NA,HAM24,8.1103,NA,NA,NOV3,8.1225,HAM24,8.2893,HAM24,8.2418,NA,NA,MAD33,8.3326,HAM24,8.279,HAM24,8.323,HAM24,8.1168
NOV3,7.8634,NOV3,7.7951,NA,NA,NOV3,7.7783,NA,NA,CEN1,7.7957,NOV3,7.9573,NOV3,7.9099,NA,NA,HAM24,7.9971,NOV3,7.947,NOV3,7.9911,NOV3,7.7848
CEN1,7.5366,CEN1,7.4684,NA,NA,CEN1,7.4515,NA,NA,DIG5,7.4959,CEN1,7.6345,CEN1,7.5831,NA,NA,NOV3,7.6651,CEN1,7.6242,CEN1,7.6643,CEN1,7.458
DIG5,7.2368,DIG5,7.1686,NA,NA,DIG5,7.1517,NA,NA,DRY4,7.203,DIG5,7.3347,MAD23,7.2566,NA,NA,CEN1,7.3423,DIG5,7.3244,MAD23,7.3378,DIG5,7.1582
DRY4,6.9438,DRY4,6.8756,NA,NA,DRY4,6.8588,NA,NA,MARA,6.9224,DRY4,7.0418,DIG5,6.9568,NA,NA,DIG5,7.0425,DRY4,7.0315,DIG5,7.038,DRY4,6.8653
MARA,6.6632,MARA,6.5951,NA,NA,MARA,6.5781,NA,NA,CRE1,6.6453,MARA,6.7613,DRY4,6.6639,NA,NA,DRY4,6.7496,MARA,6.7509,DRY4,6.7451,MARA,6.5848
CRE1,6.3863,CRE1,6.318,NA,NA,CRE1,6.3012,NA,NA,MAD24,6.3768,CRE1,6.4842,MARA,6.3834,NA,NA,MARA,6.469,CRE1,6.4739,MARA,6.4646,CRE1,6.3077
SPRA,6.1187,SPRA,6.0506,NA,NA,SPRA,6.0337,NA,NA,SPRA,6.1094,SPRA,6.2167,CRE1,6.1063,NA,NA,CRE1,6.192,SPRA,6.2064,CRE1,6.1875,SPRA,6.0402
DUN8,5.8777,DUN8,5.8096,NA,NA,DUN8,5.7927,NA,NA,DUN8,5.8684,DUN8,5.9757,SPRA,5.8388,NA,NA,SPRA,5.9245,DUN8,5.9654,SPRA,5.92,DUN8,5.7993
SCL1,5.6378,SCL1,5.5695,NA,NA,SCL1,5.5526,NA,NA,SCL1,5.6283,SCL1,5.7356,DUN8,5.5979,NA,NA,DUN8,5.6835,SCL1,5.7253,DUN8,5.6791,SCL1,5.5592
SIL1,5.4128,SIL1,5.3447,NA,NA,SIL1,5.3277,NA,NA,SIL1,5.4035,SIL1,5.5108,SCL1,5.3578,NA,NA,SCL1,5.4434,MAD29,5.4902,SCL1,5.4389,SIL1,5.3344
CR155,5.2155,HEA5,5.1361,NA,NA,HEA5,5.1192,NA,NA,HEA5,5.1949,HEA8,5.3022,SIL1,5.133,NA,NA,SIL1,5.2186,SIL1,5.2654,SIL1,5.2141,MAD19,5.1116
MAD29,5.0246,MAD19,4.9317,NA,NA,CR158,4.924,NA,NA,SON5,5.0076,CR158,5.107,HEA8,4.9245,NA,NA,HEA8,5.01,HEA8,5.0568,CR156,5.0187,CR155,4.9142
SON5,4.8381,NA,NA,NA,NA,NA,NA,NA,NA,CR155,4.8218,MAD29,4.9162,NA,NA,NA,NA,CR151,4.8185,SON5,4.8695,SON5,4.8323,NA,NA
