siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_10...15,areaCoverage_10...16,siteID_5,areaCoverage_5,siteID_10...19,areaCoverage_10...20,siteID_6,areaCoverage_6,siteID_10...23,areaCoverage_10...24,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34,siteID_10...35,areaCoverage_10...36
16_SZA_86_N1,35.723,NA,NA,M2L4,35.3065,NA,NA,KAP1,35.5528,NA,NA,16_CTA_28_N1,35.7139,NA,NA,16_SZA_86_N1,35.9729,NA,NA,16_KCG_61_N1,35.4563,NA,NA,16_CTA_26_N1,35.863,KLM25,35.7355,NA,NA,16_CTA_26_N1,35.4474,NA,NA,16_SLS_48_N1,35.4884
FEV11,34.4227,NA,NA,CVG10,33.8042,NA,NA,CVG10,34.0504,NA,NA,16_AKC_41_N1,34.4421,NA,NA,M2L4,34.335,NA,NA,WKY2,34.1676,NA,NA,16_AKC_41_N1,34.5911,WKY3,34.4468,NA,NA,WKY2,34.1588,NA,NA,TAR3,33.9274
WKY2,33.134,NA,NA,WKY1,32.5155,NA,NA,WKY1,32.7617,NA,NA,FEV11,33.1417,NA,NA,16_AKC_14_N1,33.0631,NA,NA,16_SZA_90_N1,32.7768,NA,NA,MUG1,33.3212,16_AKC_14_N1,33.1747,NA,NA,16_SZA_90_N1,32.7682,NA,NA,WKY3,32.6387
16_CTA_26_N1,31.7156,NA,NA,16_SZA_88_N1,31.1249,NA,NA,16_CTA_26_N1,31.3434,NA,NA,MIF1,31.4567,NA,NA,FEV11,31.7628,NA,NA,16_CTA_26_N1,31.3585,NA,NA,CAN68,31.6512,16_CTA_27_N1,31.7564,NA,NA,16_AKC_41_N1,31.4961,NA,NA,MUG3,31.3688
MUG1,30.4457,NA,NA,16_AKC_41_N1,29.8529,NA,NA,16_AMS_38_N1,30.0776,NA,NA,HAM19,29.9358,NA,NA,THR21,30.0928,NA,NA,FEV11,30.0584,NA,NA,WKY2,30.3623,FEV11,30.4561,NA,NA,16_AMS_10_N1_B,30.2303,NA,NA,16_AKC_14_N1,30.0969
16_AKC_14_N1,29.1736,NA,NA,16_CTA_27_N1,28.4345,NA,NA,13_VFC_4_N1,28.8529,NA,NA,WKY1,28.6471,NA,NA,WKY3,28.8042,NA,NA,16_AKC_14_N1,28.7863,NA,NA,PCL3,29.0978,16_AMS_10_N1_B,29.1904,NA,NA,FEV11,28.9302,NA,NA,16_SZA_90_N1,28.7062
13_VFC_4_N2,27.9492,NA,NA,16_AMS_10_N1_B,27.1687,NA,NA,PCL20,27.5883,NA,NA,16_AMS_32_N1,27.3813,NA,NA,PCL3,27.5394,NA,NA,16_AMS_38_N1,27.5205,NA,NA,13_VFC_1_N1,27.8731,13_VFC_4_N2,27.9657,NA,NA,WTB16,27.6822,NA,NA,WTB18,27.4584
16_AMS_38_N1,26.6833,NA,NA,13_VFC_4_N2,25.944,NA,NA,FGP3,26.3695,NA,NA,MUG1,26.1116,NA,NA,RGR15,25.8544,NA,NA,PCL20,26.2559,NA,NA,STB18,26.6484,PCL20,26.701,NA,NA,13_VFC_1_N1,26.4576,NA,NA,STB7,26.2337
IM6,25.0108,NA,NA,STB18,24.7193,NA,NA,RGR15,24.6844,NA,NA,TAR3,24.5506,NA,NA,MUG1,24.5847,NA,NA,13_VFC_4_N2,25.0312,NA,NA,16_KCG_61_N1,25.4894,STB7,25.4763,NA,NA,STB7,25.2329,NA,NA,FEV11,24.9334
16_KCG_10_N1,23.852,NA,NA,MUG3,23.4494,NA,NA,16_KCG_61_N1,23.5256,NA,NA,STB18,23.3257,NA,NA,FGP1,23.3658,NA,NA,STB7,23.8065,NA,NA,16_OSO_3_N1,24.3496,NOF1,23.7913,NA,NA,MUG1,23.9632,NA,NA,13_VFC_4_N1,23.7087
FGP1,22.6331,NA,NA,16_KFC_5_N1,22.2753,NA,NA,FEV11,22.2253,NA,NA,FGP1,22.1071,NA,NA,16_AMS_32_N1,22.1,NA,NA,FGP1,22.5877,NA,NA,FGP3,23.1308,FGP1,22.5724,NA,NA,FGP3,22.7443,NA,NA,16_KCG_37_N1,22.55
16_OSO_2_N1,21.4931,NA,NA,FGP1,21.0567,NA,NA,16_OSO_2_N1,21.0853,NA,NA,13_VFC_1_N1,20.8824,NA,NA,13_VFC_2_N1,20.8753,NA,NA,16_OSO_2_N1,21.4477,NA,NA,TAR3,21.5698,16_OSO_4_N1,21.4324,NA,NA,PCL20,21.4795,NA,NA,16_AMS_10_N1_B,21.2841
PCL20,20.2286,NA,NA,16_OSO_4_N1,19.9166,NA,NA,STB7,19.8606,NA,NA,16_OSO_2_N1,19.7424,NA,NA,16_KCG_61_N1,19.7165,NA,NA,16_KFC_5_N1,20.2736,NA,NA,SWB38,20.4446,MUG1,20.1626,NA,NA,16_KCG_61_N1,20.3208,NA,NA,FGP3,20.0653
STB7,19.0039,NA,NA,03_V153408_N3,18.8802,NA,NA,16_AKC_14_N1,18.5885,NA,NA,16_KCG_10_N1,18.5834,NA,NA,STB7,18.4918,NA,NA,MIF1,18.5885,NA,NA,16_AMS_38_N1,19.1788,16_KCG_37_N1,19.0039,NA,NA,SWB36,19.1956,NA,NA,16_OSO_4_N1,18.9252
03_V153408_N2,17.9675,NA,NA,16_VAT_3_N1,17.9125,NA,NA,03_V153408_N1,17.5523,NA,NA,03_V153408_N3,17.5472,NA,NA,SWB19,17.3667,NA,NA,OPB6,17.5539,NA,NA,OPB29,18.1439,SWB19,17.8785,NA,NA,SHC2,17.5881,NA,NA,PCL20,17.6607
OPB6,16.9328,NA,NA,PCL20,16.648,NA,NA,OPB3,16.5174,NA,NA,SWB38,16.422,NA,NA,16_OSO_3_N1,16.2266,NA,NA,SWB36,16.4285,NA,NA,03_V153408_N1,17.1077,RGR15,16.1937,NA,NA,16_OSO_3_N1,16.4481,NA,NA,SWB36,16.5355
RGR15,15.2477,NA,NA,OPB6,15.6131,NA,NA,16_VPT_4_N1,15.5532,NA,NA,16_VPT_4_N1,15.4578,NA,NA,16_VAT_6_N1,15.2587,NA,NA,03_V153408_N1,15.3923,NA,NA,16_VAT_6_N1,16.14,03_V153408_N2,15.1573,NA,NA,16_VAT_3_N1,15.4804,NA,NA,WPV2,15.5702
SWB36,14.1226,NA,NA,SKZ38,14.6551,NA,NA,SWB38,14.428,NA,NA,PCL20,14.193,NA,NA,OPB29,14.224,NA,NA,16_VPT_3_N1,14.428,NA,NA,ORO31,15.1907,OPB3,14.1226,NA,NA,WPV2,14.5151,NA,NA,16_VPT_4_N1,14.606
16_VAT_6_N1,13.1547,NA,NA,SWB38,13.5299,NA,NA,ORO31,13.4789,NA,NA,ORO55,13.2439,NA,NA,03_V153408_N3,13.1876,NA,NA,ORO55,13.4789,NA,NA,MCB2,14.2436,SKZ27,13.1646,NA,NA,SKZ38,13.5571,NA,NA,CVG19,13.6542
ORO24,12.2055,NA,NA,ORO55,12.5808,NA,NA,WPV2,12.5136,NA,NA,OPB29,12.209,NA,NA,SKZ27,12.2299,NA,NA,HEC22,12.6019,NA,NA,HEC23,13.3667,16_VAT_5_N1,12.1969,NA,NA,03_V153408_N1,12.5209,NA,NA,SKZ38,12.6963
MCB3,11.2585,NA,NA,HEC20,11.7038,NA,NA,SKZ27,11.5556,NA,NA,SKZ6,11.2512,NA,NA,ORO31,11.2805,NA,NA,WPV2,11.6366,NA,NA,FEV11,12.0666,ORO31,11.2475,NA,NA,OPB29,11.486,NA,NA,ORO24,11.7469
HEC20,10.3815,NA,NA,16_ANT_106_N1,10.8473,NA,NA,MUG1,10.2859,NA,NA,WPV2,10.2859,NA,NA,16_ANT_107_N1,10.424,NA,NA,MCB2,10.6896,NA,NA,WPV2,11.1012,16_ANT_107_N1,10.391,NA,NA,MCB4,10.539,NA,NA,OPB6,10.7122
16_ANT_107_N1,9.525,NA,NA,FEV11,9.547,NA,NA,MCB2,9.3386,NA,NA,HEC22,9.4089,NA,NA,HEC23,9.547,NA,NA,SKZ38,9.7316,NA,NA,TSG21,10.2682,TSG24,9.5579,NA,NA,ORO20,9.5896,NA,NA,03_V153408_N3,9.6758
WTB16,8.8277,NA,NA,TSG21,8.7141,NA,NA,16_ANT_106_N1,8.4821,NA,NA,16_ANT_106_N1,8.5521,NA,NA,MCB2,8.6,NA,NA,TSG25,8.8988,NA,NA,16_ANT_107_N1,9.4117,HEC23,8.6812,NA,NA,HEC20,8.7128,NA,NA,HEC23,8.799
TSG25,7.9946,NA,NA,16_EBR_61_N1,8.0067,NA,NA,TSG25,7.6491,NA,NA,MCB3,7.6051,NA,NA,16_EBR_63_N1,7.8925,NA,NA,MUG1,7.6288,NA,NA,16_SDP_32_N1,8.8996,16_SDP_32_N1,8.1691,NA,NA,16_DCR_9_N1,8.0515,NA,NA,16_ANT_107_N1,7.9423
WPV2,7.0293,NA,NA,WPV2,7.0414,NA,NA,HEC22,6.7723,NA,NA,WTB18,6.9078,NA,NA,16_SDP_24_N1,7.3807,NA,NA,WTB18,6.9315,NA,NA,16_DCR_10_N1,8.2383,16_UGC_2_N1,7.7107,NA,NA,16_SDP_24_N1,7.5394,NA,NA,16_PTL_7_D,7.2245
16_DCR_9_N1,6.3679,NA,NA,16_SDP_6_N1,6.5295,NA,NA,WTB18,6.075,NA,NA,16_VAL_13_N1,6.4115,NA,NA,KIC3,6.9308,NA,NA,16_DCR_9_N1,6.2701,NA,NA,16_UGC_2_N1,7.7801,MCB4,6.7637,NA,NA,16_ANT_102_N1,6.6829,NA,NA,MCB4,6.2775
16_UGC_1_N1,5.9095,NA,NA,KIC2,6.0797,NA,NA,16_SDP_6_N1,5.5629,NA,NA,TSG24,5.5784,NA,NA,WPV2,5.9657,NA,NA,16_ANT_102_N1,5.4136,NA,NA,KIC1,7.3302,16_DCR_10_N1,6.1023,NA,NA,TSG21,5.8498,NA,NA,16_SDP_24_N1,5.7654
KIC1,5.4599,NA,NA,WTB18,5.3824,NA,NA,16_DCR_10_N1,4.9016,NA,NA,16_SDP_6_N1,5.0666,NA,NA,16_DCR_9_N1,5.3042,NA,NA,16_UGC_1_N1,4.9552,NA,NA,SGR4,6.9472,KIC3,5.6525,NA,NA,16_UGC_1_N1,5.3914,NA,NA,KIC3,5.3158
SGR4,5.0767,NA,NA,SGR4,4.9994,NA,NA,NA,NA,NA,NA,16_DCR_9_N1,4.4052,NA,NA,TSG21,4.4713,NA,NA,NA,NA,NA,NA,OSW25,6.5069,OSW25,5.2122,NA,NA,OSW25,4.9511,NA,NA,TSG24,4.4828
OSW13,4.6364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WTB18,5.8096,SGR2,4.8292,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16_FOS_4_N1,5.4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKZ6,4.4826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
