siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
13_VFC_1_N1,20.892,13_VFC_4_N2,20.892,13_VFC_1_N1,20.892,13_VFC_4_N2,20.892,13_VFC_2_N1,20.892,13_VFC_1_N1,20.892,13_VFC_4_N2,20.892,13_VFC_4_N2,20.892,13_VFC_1_N1,20.892,13_VFC_4_N1,20.892
FGP3,19.6731,FGP1,19.6731,FGP3,19.6731,FGP3,19.6731,FGP3,19.6731,FGP3,19.6731,FGP3,19.6731,FGP3,19.6731,FGP3,19.6731,FGP1,19.6731
16_ANT_107_N1,18.4716,16_ANT_106_N1,18.4716,16_ANT_102_N1,18.4716,16_ANT_107_N1,18.4716,16_ANT_107_N1,18.4716,16_ANT_106_N1,18.4716,16_ANT_107_N1,18.4716,16_ANT_106_N1,18.4716,16_ANT_102_N1,18.4716,16_ANT_106_N1,18.4716
16_OSO_2_N1,17.3315,16_OSO_3_N1,17.3315,16_OSO_4_N1,17.3315,16_OSO_4_N1,17.3315,16_OSO_4_N1,17.3315,16_OSO_2_N1,17.3315,16_OSO_4_N1,17.3315,16_OSO_3_N1,17.3315,16_OSO_2_N1,17.3315,16_OSO_3_N1,17.3315
SWB36,16.2062,SWB19,16.2062,SWB36,16.2062,SWB36,16.2062,SWB19,16.2062,SWB36,16.2062,SWB36,16.2062,SWB19,16.2062,SWB19,16.2062,SWB38,16.2062
03_V153408_N2,15.1699,03_V153408_N1,15.1699,03_V153408_N1,15.1699,03_V153408_N1,15.1699,03_V153408_N1,15.1699,03_V153408_N2,15.1699,03_V153408_N2,15.1699,03_V153408_N1,15.1699,03_V153408_N3,15.1699,03_V153408_N3,15.1699
OPB3,14.135,OPB3,14.135,OPB29,14.135,OPB29,14.135,OPB3,14.135,OPB6,14.135,OPB29,14.135,OPB3,14.135,OPB3,14.135,OPB29,14.135
16_KCG_61_N1,13.1349,16_KCG_10_N1,13.1349,16_KCG_37_N1,13.1349,16_KCG_10_N1,13.1349,16_KCG_37_N1,13.1349,16_KCG_10_N1,13.1349,16_KCG_37_N1,13.1349,16_KCG_37_N1,13.1349,16_KCG_10_N1,13.1349,16_KCG_10_N1,13.1349
16_VAT_5_N1,12.1671,16_VAT_3_N1,12.1671,16_VAT_5_N1,12.1671,16_VAT_6_N1,12.1671,16_VAT_3_N1,12.1671,16_VAT_3_N1,12.1671,16_VAT_5_N1,12.1671,16_VAT_3_N1,12.1671,16_VAT_3_N1,12.1671,16_VAT_5_N1,12.1671
WPV2,11.2018,WPV2,11.2018,WPV2,11.2018,WPV2,11.2018,WPV2,11.2018,WPV2,11.2018,WPV2,11.2018,WPV2,11.2018,WPV2,11.2018,WPV2,11.2018
SKZ6,10.2438,SKZ6,10.2438,SKZ6,10.2438,SKZ38,10.2438,SKZ27,10.2438,SKZ27,10.2438,SKZ27,10.2438,SKZ27,10.2438,SKZ38,10.2438,SKZ38,10.2438
ORO20,9.2945,ORO20,9.2945,ORO20,9.2945,ORO31,9.2945,ORO24,9.2945,ORO31,9.2945,ORO51,9.2945,ORO51,9.2945,ORO31,9.2945,ORO31,9.2945
MCB4,8.3474,MCB2,8.3474,MCB2,8.3474,MCB2,8.3474,MCB2,8.3474,MCB2,8.3474,MCB2,8.3474,MCB3,8.3474,MCB3,8.3474,MCB2,8.3474
HEC20,7.4704,HEC23,7.4704,HEC23,7.4704,HEC20,7.4704,HEC20,7.4704,HEC20,7.4704,HEC22,7.4704,HEC22,7.4704,HEC23,7.4704,HEC20,7.4704
TSG24,6.6375,TSG21,6.6375,TSG21,6.6375,TSG21,6.6375,TSG21,6.6375,TSG25,6.6375,TSG24,6.6375,TSG21,6.6375,TSG25,6.6375,TSG24,6.6375
WTB18,5.9401,WTB16,5.9401,WTB16,5.9401,WTB16,5.9401,WTB18,5.9401,WTB18,5.9401,WTB16,5.9401,WTB16,5.9401,WTB18,5.9401,WTB18,5.9401
16_DCR_9_N1,5.2787,16_DCR_9_N1,5.2787,16_DCR_10_N1,5.2787,16_DCR_9_N1,5.2787,16_DCR_9_N1,5.2787,16_DCR_9_N1,5.2787,16_DCR_9_N1,5.2787,16_DCR_9_N1,5.2787,16_DCR_9_N1,5.2787,16_DCR_9_N1,5.2787
16_SDP_24_N1,4.7667,16_SDP_32_N1,4.7667,16_SDP_32_N1,4.7667,16_SDP_32_N1,4.7667,16_SDP_32_N1,4.7667,16_SDP_6_N1,4.7667,16_SDP_32_N1,4.7667,16_SDP_32_N1,4.7667,16_SDP_24_N1,4.7667,16_SDP_6_N1,4.7667
